X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-7.692596,53.288234,2020/04/27 00:00:00+00,386,19648,18,1102,2020/04/25 00:00:00+00,19095,2624,353,5204,604,14,8,54,160,226,352,396,1412,8051,10963,81,33,64,190,1236,3069,3285,3526,2566,5101,49,64,33,3,57
-7.692596,53.288234,2020/04/28 00:00:00+00,229,19877,59,1159,2020/04/26 00:00:00+00,19383,2638,358,5414,608,14,8,54,159,228,353,401,1418,8152,11179,52,33,64,193,1262,3096,3319,3567,2586,5239,49,63,34,3,58
-7.692596,53.288234,2020/04/29 00:00:00+00,376,20253,31,1190,2020/04/27 00:00:00+00,19823,2669,355,5568,620,15,8,55,167,228,356,406,1432,8287,11379,57,34,64,196,1295,3149,3376,3632,2620,5334,49,63,34,3,59
-7.692596,53.288234,2020/04/30 00:00:00+00,359,20612,43,1232,2020/04/28 00:00:00+00,20111,2706,360,5684,630,15,8,55,170,231,360,406,1459,8427,11625,59,34,65,201,1323,3201,3438,3698,2665,5460,49,64,33,3,60
-7.692596,53.288234,2020/05/01 00:00:00+00,221,20833,34,1265,2020/04/29 00:00:00+00,20510,2768,367,5840,646,16,8,56,173,232,368,416,1496,8605,11841,64,35,66,205,1363,3271,3491,3752,2706,5596,49,66,33,3,61
-7.692596,53.288234,2020/05/02 00:00:00+00,343,21176,25,1286,2020/04/30 00:00:00+00,20742,2785,368,5973,676,16,8,56,173,232,373,415,1509,8695,11979,68,35,66,206,1383,3314,3532,3803,2736,5642,49,63,34,3,62
-7.692596,53.288234,2020/05/03 00:00:00+00,330,21506,19,1303,2020/05/01 00:00:00+00,21064,2825,363,6068,694,18,11,58,174,235,381,422,1524,8841,12166,57,38,69,215,1417,3373,3588,3858,2772,5711,49,63,34,3,63
-7.692596,53.288234,2020/05/04 00:00:00+00,266,21772,16,1319,2020/05/02 00:00:00+00,21437,2840,364,6211,703,18,12,58,176,236,383,423,1532,9045,12334,58,39,70,223,1460,3463,3667,3918,2816,5758,49,63,34,3,64
-7.692596,53.288234,2020/05/05 00:00:00+00,211,21983,23,1339,2020/05/03 00:00:00+00,21659,2879,369,6293,706,18,13,59,179,240,389,424,1555,9151,12446,62,39,72,230,1475,3496,3714,3956,2843,5810,49,62,35,3,65
-7.692596,53.288234,2020/05/06 00:00:00+00,265,22248,37,1375,2020/05/04 00:00:00+00,21908,2878,373,6393,710,18,14,61,175,238,389,421,1560,9283,12562,63,39,75,230,1495,3556,3766,3996,2866,5855,49,62,35,3,66
-7.692596,53.288234,2020/05/07 00:00:00+00,137,22385,29,1403,2020/05/05 00:00:00+00,22186,2891,376,6498,733,18,15,63,175,238,392,425,1563,9428,12696,62,40,77,241,1532,3618,3830,4039,2899,5885,49,62,35,3,67
-7.692596,53.288234,2020/05/08 00:00:00+00,156,22541,27,1429,2020/05/06 00:00:00+00,22301,2915,373,6586,737,18,17,63,175,235,393,429,1583,9472,12765,64,40,77,243,1545,3635,3851,4065,2913,5907,49,61,36,3,68
-7.692596,53.288234,2020/05/09 00:00:00+00,219,22760,18,1446,2020/05/07 00:00:00+00,22495,2954,381,6669,746,18,17,63,177,236,399,437,1605,9552,12879,64,40,77,245,1567,3673,3891,4087,2939,5950,49,61,36,3,69
-7.692596,53.288234,2020/05/10 00:00:00+00,236,22996,12,1458,2020/05/08 00:00:00+00,22671,2986,383,6771,750,18,17,65,179,240,404,436,1625,9627,12980,64,40,77,252,1582,3707,3919,4111,2958,5997,49,61,36,3,70
-7.692596,53.288234,2020/05/11 00:00:00+00,139,23135,15,1467,2020/05/09 00:00:00+00,22894,2998,383,6834,755,18,17,65,178,239,405,436,1638,9698,13129,67,42,79,258,1604,3745,3964,4148,2987,6041,49,61,36,3,71
-7.692596,53.288234,2020/05/12 00:00:00+00,107,23242,24,1488,2020/05/10 00:00:00+00,23089,3031,386,6906,759,18,17,66,179,238,408,439,1664,9776,13249,64,42,79,260,1624,3777,3994,4172,3014,6101,49,61,36,3,72
-7.692596,53.288234,2020/05/13 00:00:00+00,159,23401,10,1497,2020/05/11 00:00:00+00,23144,3050,389,6997,766,18,17,68,181,239,407,439,1679,9802,13282,60,43,79,263,1631,3792,4004,4186,3014,6107,48,60,37,3,73
-7.692596,53.288234,2020/05/14 00:00:00+00,426,23827,10,1506,2020/05/12 00:00:00+00,23259,3053,387,7123,766,18,17,68,182,240,409,442,1675,9853,13338,68,43,82,266,1641,3822,4024,4203,3029,6124,48,60,37,3,74
-7.692596,53.288234,2020/05/15 00:00:00+00,129,23956,16,1518,2020/05/13 00:00:00+00,23627,3062,387,7427,781,18,17,68,184,242,409,442,1680,10019,13559,49,43,85,266,1688,3936,4105,4276,3066,6138,48,61,37,2,75
-7.692596,53.288234,2020/05/16 00:00:00+00,92,24048,15,1533,2020/05/14 00:00:00+00,23779,3094,389,7530,784,18,17,68,186,247,415,449,1692,10189,13681,49,43,85,267,1705,3995,4181,4316,3096,6167,48,60,37,3,76
-7.692596,53.288234,2020/05/17 00:00:00+00,64,24112,10,1543,2020/05/15 00:00:00+00,23953,3117,389,7566,800,19,17,70,187,247,420,453,1712,10195,13709,49,43,87,270,1714,4015,4201,4329,3099,6171,48,60,37,3,77
-7.692596,53.288234,2020/05/18 00:00:00+00,88,24200,4,1547,2020/05/16 00:00:00+00,24036,3127,391,7615,805,19,17,70,187,247,421,457,1707,10229,13768,39,44,88,270,1721,4043,4217,4339,3103,6187,48,60,37,3,78
-7.692596,53.288234,2020/05/19 00:00:00+00,51,24251,16,1561,2020/05/17 00:00:00+00,24176,3143,390,7661,806,19,17,70,188,248,422,463,1714,10296,13841,39,44,90,275,1744,4066,4249,4357,3119,6208,48,60,37,3,79
-7.692596,53.288234,2020/05/20 00:00:00+00,64,24315,11,1571,2020/05/18 00:00:00+00,24204,3164,393,7708,810,19,17,70,188,247,425,470,1725,10307,13859,38,44,91,277,1750,4069,4260,4361,3122,6206,48,60,38,2,80
-7.692596,53.288234,2020/05/21 00:00:00+00,76,24391,12,1583,2020/05/19 00:00:00+00,24274,3183,392,7747,814,19,17,70,189,247,428,473,1737,10337,13899,38,44,93,278,1760,4083,4272,4371,3127,6222,48,60,38,2,81
-7.692596,53.288234,2020/05/22 00:00:00+00,115,24506,11,1592,2020/05/20 00:00:00+00,24351,3194,393,7791,823,19,17,70,190,247,429,474,1745,10375,13936,40,44,93,281,1763,4093,4288,4380,3139,6246,48,60,38,2,82
-7.692596,53.288234,2020/05/23 00:00:00+00,76,24582,13,1604,2020/05/21 00:00:00+00,24451,3211,393,7813,829,19,17,70,191,247,429,476,1759,10418,13996,37,44,97,288,1769,4112,4306,4401,3145,6265,48,60,38,2,83
-7.692596,53.288234,2020/05/24 00:00:00+00,57,24639,4,1608,2020/05/22 00:00:00+00,24569,3222,394,7819,844,19,17,71,193,248,430,478,1763,10468,14064,37,44,101,291,1792,4135,4326,4415,3158,6283,48,59,38,3,84
-7.692596,53.288234,2020/05/25 00:00:00+00,59,24698,0,1606,2020/05/23 00:00:00+00,24593,3225,394,7842,846,19,17,71,193,249,430,477,1766,10484,14070,39,45,101,292,1797,4138,4335,4418,3158,6284,48,59,38,3,85
-7.692596,53.288234,2020/05/26 00:00:00+00,37,24735,9,1615,2020/05/24 00:00:00+00,24629,3233,395,7852,846,19,17,71,193,249,432,478,1771,10510,14081,38,45,102,294,1802,4139,4337,4428,3163,6294,48,59,38,3,86
-7.692596,53.288234,2020/05/27 00:00:00+00,73,24803,17,1631,2020/05/25 00:00:00+00,24730,3251,399,7891,846,19,17,71,196,249,433,479,1784,10548,14145,37,45,103,297,1810,4162,4349,4444,3180,6315,48,40,58,2,87
-7.692596,53.288234,2020/05/28 00:00:00+00,46,24841,9,1639,2020/05/26 00:00:00+00,24795,3267,404,7920,850,19,17,71,196,251,437,481,1792,10575,14186,34,45,105,304,1818,4168,4362,4454,3186,6329,48,40,58,2,88
-7.692596,53.288234,2020/05/29 00:00:00+00,39,24876,6,1645,2020/05/27 00:00:00+00,24837,3270,404,7943,856,19,17,72,197,252,439,480,1792,10589,14214,34,45,106,305,1822,4176,4369,4463,3190,6337,48,40,58,2,89
-7.692596,53.288234,2020/05/30 00:00:00+00,59,24929,9,1651,2020/05/28 00:00:00+00,24870,3279,408,7955,861,19,17,72,197,255,439,480,1797,10601,14235,34,46,107,307,1822,4177,4373,4471,3195,6349,48,40,58,2,90
-7.692596,53.288234,2020/05/31 00:00:00+00,66,24990,2,1652,2020/05/29 00:00:00+00,24924,3283,408,7963,866,19,17,72,198,254,440,481,1799,10621,14269,34,46,107,309,1824,4185,4385,4476,3197,6372,48,39,59,2,91
-7.692596,53.288234,2020/06/01 00:00:00+00,77,25062,1,1650,2020/05/30 00:00:00+00,24985,3286,408,7968,866,19,17,72,198,254,442,481,1800,10661,14289,35,46,108,310,1830,4197,4399,4488,3204,6380,48,39,58,2,92
-7.692596,53.288234,2020/06/02 00:00:00+00,10,25066,8,1658,2020/05/31 00:00:00+00,25056,3292,408,7986,867,19,17,72,198,254,443,482,1804,10693,14332,31,47,109,318,1841,4205,4407,4502,3213,6391,48,39,58,2,93
-7.692596,53.288234,2020/06/03 00:00:00+00,47,25111,3,1659,2020/06/01 00:00:00+00,25064,3298,409,8004,872,19,17,72,197,255,443,484,1808,10697,14336,31,47,109,318,1842,4207,4407,4503,3213,6395,48,39,59,2,94
-7.692596,53.288234,2020/06/04 00:00:00+00,38,25142,5,1664,2020/06/02 00:00:00+00,25104,3311,410,8025,876,19,18,73,197,257,443,487,1814,10715,14358,31,47,109,319,1842,4209,4416,4511,3221,6407,48,39,59,2,95
-7.692596,53.288234,2020/06/05 00:00:00+00,28,25163,7,1670,2020/06/03 00:00:00+00,25135,3312,410,8046,880,20,18,73,196,257,443,488,1814,10734,14370,31,47,109,319,1847,4211,4424,4522,3227,6404,48,39,59,2,96
-7.692596,53.288234,2020/06/06 00:00:00+00,24,25183,9,1678,2020/06/04 00:00:00+00,25159,3319,410,8059,885,20,18,73,197,257,443,490,1818,10743,14384,32,49,111,321,1850,4216,4425,4524,3228,6411,48,39,59,2,97
-7.692596,53.288234,2020/06/07 00:00:00+00,25,25201,1,1679,2020/06/05 00:00:00+00,25176,3321,409,8057,888,20,17,73,197,258,443,490,1820,10751,14393,32,49,112,320,1854,4219,4430,4527,3226,6416,48,39,59,2,98
-7.692596,53.288234,2020/06/08 00:00:00+00,9,25207,4,1683,2020/06/06 00:00:00+00,25198,3322,411,8073,891,20,18,72,197,258,444,491,1819,10759,14406,33,49,113,321,1859,4222,4434,4530,3229,6417,48,39,59,2,99
-7.692596,53.288234,2020/06/09 00:00:00+00,9,25215,9,1691,2020/06/07 00:00:00+00,25206,3331,413,8087,892,20,18,72,199,260,445,490,1825,10766,14408,32,49,112,321,1859,4224,4437,4533,3229,6419,48,38,59,2,100
-7.692596,53.288234,2020/06/10 00:00:00+00,19,25231,5,1695,2020/06/08 00:00:00+00,25212,3321,411,8099,887,20,17,71,198,260,445,489,1819,10771,14409,32,49,112,320,1861,4223,4438,4535,3232,6419,48,38,60,2,101
-7.692596,53.288234,2020/06/11 00:00:00+00,8,25238,8,1703,2020/06/09 00:00:00+00,25230,3307,412,8114,901,20,17,69,198,261,444,490,1806,10777,14421,32,49,113,320,1866,4226,4441,4538,3232,6422,48,38,60,2,102
-7.692596,53.288234,2020/06/12 00:00:00+00,13,25250,3,1705,2020/06/10 00:00:00+00,25237,3275,415,8116,917,20,17,69,199,261,444,490,1773,10780,14425,32,50,113,320,1866,4228,4442,4539,3232,6424,48,38,60,2,103
-7.692596,53.288234,2020/06/13 00:00:00+00,46,25295,5,1705,2020/06/11 00:00:00+00,25249,3276,416,8123,941,20,17,69,199,261,444,490,1774,10784,14434,31,50,115,320,1867,4230,4443,4540,3232,6429,48,37,60,2,104
-7.692596,53.288234,2020/06/14 00:00:00+00,8,25303,1,1706,2020/06/12 00:00:00+00,25295,3279,416,8130,970,20,17,69,200,261,444,491,1775,10804,14460,31,51,116,323,1871,4239,4452,4548,3236,6436,48,37,60,2,105
-7.692596,53.288234,2020/06/15 00:00:00+00,18,25321,0,1706,2020/06/13 00:00:00+00,25303,3278,417,8130,976,20,17,69,200,261,444,491,1774,10808,14465,30,51,116,323,1873,4241,4452,4549,3236,6439,48,37,60,2,106
-7.692596,53.288234,2020/06/16 00:00:00+00,14,25334,3,1709,2020/06/14 00:00:00+00,25320,3282,418,8139,976,20,17,69,200,261,445,490,1778,10815,14475,30,52,117,324,1874,4242,4455,4553,3238,6442,48,37,60,2,107
-7.692596,53.288234,2020/06/17 00:00:00+00,8,25341,3,1710,2020/06/15 00:00:00+00,25333,3278,417,8144,981,21,16,70,199,262,444,487,1777,10820,14483,30,52,118,324,1874,4243,4458,4557,3238,6446,48,37,60,2,108
-7.692596,53.288234,2020/06/18 00:00:00+00,16,25355,4,1714,2020/06/16 00:00:00+00,25339,3282,417,8147,1005,21,16,70,199,262,445,487,1780,10822,14487,30,52,118,324,1875,4244,4459,4558,3239,6447,48,37,61,2,109
-7.692596,53.288234,2020/06/19 00:00:00+00,13,25368,2,1714,2020/06/17 00:00:00+00,25355,3286,416,8154,1031,21,16,70,200,262,445,488,1782,10831,14494,30,52,118,325,1877,4248,4462,4561,3240,6449,48,37,61,2,110
-7.692596,53.288234,2020/06/20 00:00:00+00,22,25374,2,1715,2020/06/18 00:00:00+00,25352,3280,419,8152,1033,21,16,70,197,263,443,488,1780,10835,14487,30,52,118,326,1878,4249,4464,4557,3240,6446,48,37,61,2,111
-7.692596,53.288234,2020/06/21 00:00:00+00,6,25379,0,1715,2020/06/19 00:00:00+00,25373,3282,419,8158,1036,21,16,70,197,263,444,488,1781,10845,14498,30,52,118,326,1883,4253,4467,4559,3243,6450,48,37,61,2,112
-7.692596,53.288234,2020/06/22 00:00:00+00,4,25383,2,1717,2020/06/20 00:00:00+00,25379,3284,431,8161,1069,21,16,70,197,264,444,489,1781,10847,14502,30,52,118,326,1883,4254,4469,4560,3243,6452,48,36,61,2,113
-7.692596,53.288234,2020/06/23 00:00:00+00,10,25391,3,1720,2020/06/21 00:00:00+00,25381,3285,434,8172,1100,21,16,70,197,264,444,489,1782,10849,14502,30,52,118,326,1884,4255,4468,4562,3243,6451,48,36,62,2,114
-7.692596,53.288234,2020/06/24 00:00:00+00,5,25396,6,1726,2020/06/22 00:00:00+00,25391,3292,434,8177,1212,21,16,70,197,265,445,490,1786,10853,14508,30,52,118,327,1884,4256,4471,4562,3247,6452,48,36,62,2,115
-7.692596,53.288234,2020/06/25 00:00:00+00,11,25405,1,1727,2020/06/23 00:00:00+00,25394,3293,433,8178,1321,21,16,70,196,265,444,490,1789,10855,14509,30,52,118,327,1884,4256,4471,4562,3247,6455,48,35,62,2,116
